respondent_id,h1n1_vaccine,seasonal_vaccine,xyz_vaccine
26707,0.5,0.37,0.21
26708,0.5,0.11,0.04
26709,0.5,0.73,0.29
26710,0.5,0.75,0.59
26711,0.5,0.55,0.36
26712,0.5,0.8,0.71
26713,0.5,0.61,0.38
26714,0.5,0.15,0.25
26715,0.5,0.16,0.14
26716,0.5,0.81,0.27
26717,0.5,0.42,0.05
26718,0.5,0.54,0.37
26719,0.5,0.83,0.22
26720,0.5,0.23,0.05
26721,0.5,0.54,0.38
26722,0.5,0.24,0.1
26723,0.5,0.78,0.59
26724,0.5,0.76,0.07
26725,0.5,0.16,0.08
26726,0.5,0.19,0.12
26727,0.5,0.78,0.44
26728,0.5,0.49,0.33
26729,0.5,0.42,0.24
26730,0.5,0.31,0.17
26731,0.5,0.36,0.12
26732,0.5,0.25,0.2
26733,0.5,0.87,0.82
26734,0.5,0.52,0.61
26735,0.5,0.54,0.12
26736,0.5,0.16,0.15
26737,0.5,0.18,0.16
26738,0.5,0.74,0.6
26739,0.5,0.26,0.16
26740,0.5,0.21,0.19
26741,0.5,0.75,0.16
26742,0.5,0.38,0.15
26743,0.5,0.38,0.14
26744,0.5,0.51,0.13
26745,0.5,0.68,0.13
26746,0.5,0.34,0.29
26747,0.5,0.17,0.08
26748,0.5,0.2,0.22
26749,0.5,0.66,0.15
26750,0.5,0.76,0.45
26751,0.5,0.77,0.55
26752,0.5,0.22,0.11
26753,0.5,0.41,0.26
26754,0.5,0.5,0.27
26755,0.5,0.51,0.22
26756,0.5,0.11,0.1
26757,0.5,0.53,0.31
26758,0.5,0.62,0.56
26759,0.5,0.22,0.05
26760,0.5,0.23,0.22
26761,0.5,0.68,0.35
26762,0.5,0.76,0.25
26763,0.5,0.86,0.76
26764,0.5,0.86,0.7
26765,0.5,0.61,0.14
26766,0.5,0.17,0.23
26767,0.5,0.64,0.75
26768,0.5,0.47,0.09
26769,0.5,0.33,0.08
26770,0.5,0.54,0.11
26771,0.5,0.3,0.09
26772,0.5,0.5,0.12
26773,0.5,0.31,0.09
26774,0.5,0.43,0.17
26775,0.5,0.56,0.12
26776,0.5,0.41,0.41
26777,0.5,0.7,0.28
26778,0.5,0.12,0.15
26779,0.5,0.52,0.32
26780,0.5,0.8,0.26
26781,0.5,0.42,0.2
26782,0.5,0.38,0.27
26783,0.5,0.35,0.05
26784,0.5,0.74,0.31
26785,0.5,0.61,0.43
26786,0.5,0.18,0.08
26787,0.5,0.54,0.11
26788,0.5,0.73,0.12
26789,0.5,0.31,0.13
26790,0.5,0.21,0.06
26791,0.5,0.11,0.11
26792,0.5,0.59,0.17
26793,0.5,0.85,0.18
26794,0.5,0.76,0.44
26795,0.5,0.76,0.22
26796,0.5,0.1,0.17
26797,0.5,0.58,0.31
26798,0.5,0.34,0.4
26799,0.5,0.43,0.34
26800,0.5,0.89,0.17
26801,0.5,0.29,0.17
26802,0.5,0.15,0.15
26803,0.5,0.18,0.11
26804,0.5,0.22,0.04
26805,0.5,0.25,0.15
26806,0.5,0.76,0.14
26807,0.5,0.8,0.44
26808,0.5,0.43,0.09
26809,0.5,0.32,0.5
26810,0.5,0.14,0.08
26811,0.5,0.3,0.13
26812,0.5,0.79,0.29
26813,0.5,0.46,0.51
26814,0.5,0.62,0.09
26815,0.5,0.06,0.06
26816,0.5,0.28,0.18
26817,0.5,0.63,0.18
26818,0.5,0.44,0.23
26819,0.5,0.33,0.21
26820,0.5,0.23,0.16
26821,0.5,0.43,0.08
26822,0.5,0.58,0.11
26823,0.5,0.4,0.33
26824,0.5,0.73,0.13
26825,0.5,0.6,0.53
26826,0.5,0.7,0.09
26827,0.5,0.16,0.08
26828,0.5,0.46,0.18
26829,0.5,0.87,0.61
26830,0.5,0.71,0.15
26831,0.5,0.86,0.26
26832,0.5,0.85,0.09
26833,0.5,0.43,0.16
26834,0.5,0.45,0.33
26835,0.5,0.73,0.37
26836,0.5,0.53,0.31
26837,0.5,0.17,0.19
26838,0.5,0.54,0.36
26839,0.5,0.5,0.2
26840,0.5,0.21,0.23
26841,0.5,0.53,0.46
26842,0.5,0.16,0.13
26843,0.5,0.11,0.09
26844,0.5,0.43,0.11
26845,0.5,0.72,0.09
26846,0.5,0.68,0.09
26847,0.5,0.34,0.39
26848,0.5,0.62,0.09
26849,0.5,0.55,0.41
26850,0.5,0.59,0.4
26851,0.5,0.1,0.06
26852,0.5,0.16,0.13
26853,0.5,0.4,0.24
26854,0.5,0.2,0.09
26855,0.5,0.81,0.39
26856,0.5,0.18,0.16
26857,0.5,0.36,0.49
26858,0.5,0.46,0.15
26859,0.5,0.18,0.07
26860,0.5,0.25,0.3
26861,0.5,0.15,0.09
26862,0.5,0.35,0.08
26863,0.5,0.36,0.14
26864,0.5,0.37,0.37
26865,0.5,0.11,0.1
26866,0.5,0.51,0.13
26867,0.5,0.23,0.18
26868,0.5,0.79,0.68
26869,0.5,0.37,0.12
26870,0.5,0.76,0.53
26871,0.5,0.07,0.05
26872,0.5,0.27,0.07
26873,0.5,0.64,0.21
26874,0.5,0.17,0.17
26875,0.5,0.73,0.27
26876,0.5,0.28,0.19
26877,0.5,0.2,0.27
26878,0.5,0.3,0.19
26879,0.5,0.09,0.04
26880,0.5,0.16,0.18
26881,0.5,0.08,0.07
26882,0.5,0.08,0.11
26883,0.5,0.34,0.19
26884,0.5,0.23,0.17
26885,0.5,0.57,0.2
26886,0.5,0.78,0.29
26887,0.5,0.75,0.56
